date,cum_confirmed,recovered,death
01/04/2020,973,310,17
02/04/2020,1056,345,18
03/04/2020,1119,375,22
04/04/2020,1158,416,24
05/04/2020,1217,422,29
06/04/2020,1330,440,30
07/04/2020,1432,515,34
08/04/2020,1534,593,39
09/04/2020,1637,625,50
10/04/2020,1732,675,57
11/04/2020,1806,729,64
12/04/2020,1864,772,70
13/04/2020,2012,772,70
14/04/2020,2165,830,79
15/04/2020,2321,853,87
16/04/2020,2486,926,94
17/04/2020,2668,955,111
18/04/2020,2788,997,121
19/04/2020,2914,1026,134
20/04/2020,3190,1059,143
21/04/2020,3452,1094,160
22/04/2020,3758,1138,179
23/04/2020,4270,1336,200
24/04/2020,4788,1373,221
25/04/2020,5127,1410,244
26/04/2020,5512,1502,272
27/04/2020,6187,1556,286
28/04/2020,6788,1611,301
29/04/2020,7468,1724,319
30/04/2020,8116,1829,343
01/05/2020,8736,1911,371
02/05/2020,9071,2002,395
03/05/2020,9411,2596,419
04/05/2020,10235,3784,428
05/05/2020,10876,4159,455
06/05/2020,11510,4520,485
07/05/2020,12328,4800,508
08/05/2020,13040,5163,534
09/05/2020,13321,5764,558
10/05/2020,13552,6304,578
11/05/2020,14379,6945,591
12/05/2020,15043,7609,614
13/05/2020,15772,8149,638
14/05/2020,16565,8473,663
15/05/2020,17363,8820,692
16/05/2020,17705,9571,709
17/05/2020,18016,10175,731
18/05/2020,18987,10764,740
19/05/2020,19842,11540,757
20/05/2020,20609,12227,786
21/05/2020,21582,12488,818
22/05/2020,22374,12696,851
23/05/2020,22765,13485,861
24/05/2020,23121,14115,878
25/05/2020,23524,14816,890
26/05/2020,24308,15523,908
27/05/2020,24988,16314,942
28/05/2020,25559,16655,977
29/05/2020,26013,16930,1006
30/05/2020,26181,17864,1036
31/05/2020,26322,18695,1050
01/06/2020,26897,19441,1060
02/06/2020,27376,20381,1082
03/06/2020,27889,21169,1097
04/06/2020,28290,21490,1126
05/06/2020,28688,21864,1159
06/06/2020,28853,22253,1181
07/06/2020,28988,22992,1197
08/06/2020,29436,23657,1208
09/06/2020,29866,24221,1228
10/06/2020,30199,24675,1267
11/06/2020,30418,24870,1280
12/06/2020,30463,25028,1305
13/06/2020,30465,25620,1314
14/06/2020,30471,26090,1329
15/06/2020,30693,26609,1335
16/06/2020,30882,27006,1344
17/06/2020,31296,27404,1357
18/06/2020,31675,27566,1376
19/06/2020,32031,27709,1393
20/06/2020,32467,28205,1404
21/06/2020,32920,28663,1412
22/06/2020,33227,29065,1416
23/06/2020,33469,29399,1425
24/06/2020,33763,29707,1432
25/06/2020,34123,29854,1441
26/06/2020,34616,30008,1446
27/06/2020,35033,30401,1452
28/06/2020,35549,30809,1460
29/06/2020,35861,31225,1470
30/06/2020,36303,31601,1476
01/07/2020,36716,31947,1482
02/07/2020,37210,32163,1495
03/07/2020,37624,32347,1503
04/07/2020,37624,32347,1503
05/07/2020,38136,33408,1508
06/07/2020,38569,33907,1511
07/07/2020,39133,34377,1514
08/07/2020,39589,34902,1523
09/07/2020,40163,35193,1528
10/07/2020,40767,35442,1533
11/07/2020,41571,36012,1537
12/07/2020,42281,36582,1540
13/07/2020,42772,37199,1542
14/07/2020,43170,37749,1548
15/07/2020,43742,38179,1558
16/07/2020,44347,38290,1566
17/07/2020,45013,38568,1573
18/07/2020,45470,39310,1578
19/07/2020,46204,40001,1581
20/07/2020,47107,40742,1585
21/07/2020,47457,41511,1588
22/07/2020,47961,42234,1592
23/07/2020,48721,42524,1601
24/07/2020,49488,42882,1606
25/07/2020,50291,43625,1611
26/07/2020,51153,44431,1614
27/07/2020,51803,45198,1616
28/07/2020,52281,45987,1620
29/07/2020,52947,46636,1629
30/07/2020,53692,46965,1634
31/07/2020,54463,47289,1640
01/08/2020,55188,48119,1646
02/08/2020,55947,48847,1654
03/08/2020,56560,49565,1656
04/08/2020,57162,50426,1660
05/08/2020,57779,51223,1670
06/08/2020,58640,51604,1677
07/08/2020,59185,51940,1681
08/08/2020,60101,52768,1689
09/08/2020,60898,53568,1698
10/08/2020,61516,54364,1701
11/08/2020,61839,55151,1707
12/08/2020,62303,55855,1724
13/08/2020,62993,56346,1731
14/08/2020,63723,56659,1739
15/08/2020,64413,57457,1745
16/08/2020,65152,58196,1752
17/08/2020,65716,58859,1758
18/08/2020,66061,59568,1767
19/08/2020,66618,60242,1784
20/08/2020,67308,60605,1791
21/08/2020,68133,60920,1799
22/08/2020,68867,61698,1807
23/08/2020,69584,62373,1813
24/08/2020,70298,63059,1817
25/08/2020,70707,63725,1825
26/08/2020,71236,64374,1842
27/08/2020,72390,64876,1855
28/08/2020,73240,65204,1859
29/08/2020,74257,66107,1863
30/08/2020,75189,66916,1865
31/08/2020,75864,67656,1866
01/09/2020,76355,68488,1872
02/09/2020,77085,69521,1882
03/09/2020,78123,70175,1889
04/09/2020,78966,70537,1899
05/09/2020,79880,71507,1903
06/09/2020,80587,72463,1909
07/09/2020,81225,73403,1912
08/09/2020,81608,74235,1914
09/09/2020,81868,75055,1921
10/09/2020,82249,75425,1936
11/09/2020,82716,75757,1949
12/09/2020,83588,76650,1958
13/09/2020,84311,77461,1971
14/09/2020,84949,78238,1974
15/09/2020,85351,78953,1979
16/09/2020,85813,79583,1985
17/09/2020,86722,79878,1994
18/09/2020,87807,80221,2002
19/09/2020,88721,80407,2015
20/09/2020,90017,81336,2017
21/09/2020,90942,82174,2021
22/09/2020,91422,82833,2031
23/09/2020,92100,83507,2037
24/09/2020,93012,83862,2040
25/09/2020,94189,84256,2046
26/09/2020,95659,85259,2056
27/09/2020,96734,86252,2060
28/09/2020,97638,87330,2067
29/09/2020,98447,88380,2072
30/09/2020,99134,89392,2089
01/10/2020,100200,89980,2102
02/10/2020,101366,90492,2112
03/10/2020,102787,91844,2126
04/10/2020,103826,93148,2133
05/10/2020,104799,94416,2136
06/10/2020,105740,95614,2140
07/10/2020,106651,96616,2154
08/10/2020,107922,97254,2160
09/10/2020,109312,97715,2174
10/10/2020,110828,99054,2184
11/10/2020,112268,100171,2194
12/10/2020,113439,101376,2197
13/10/2020,114574,102624,2204
14/10/2020,115943,103830,2180
15/10/2020,117106,104547,2199
16/10/2020,119396,105120,2212
17/10/2020,121090,106774,2217
18/10/2020,122812,108316,2234
19/10/2020,124439,109963,2239
20/10/2020,125531,111634,2246
21/10/2020,126591,113158,2281
22/10/2020,128152,113976,2301
23/10/2020,129863,114679,2314
24/10/2020,132122,116693,2328
25/10/2020,133802,118485,2349
26/10/2020,135372,120421,2353
27/10/2020,137536,122100,2368
28/10/2020,139444,123529,2387
29/10/2020,142311,124379,2419
30/10/2020,145465,125052,2437
31/10/2020,148472,127362,2457
01/11/2020,150672,129663,2475
02/11/2020,153620,132125,2484
03/11/2020,157096,134227,2499
04/11/2020,160923,136457,2530
05/11/2020,164865,137824,2555
06/11/2020,170307,139190,2591
07/11/2020,174954,142800,2625
08/11/2020,180862,146311,2656
09/11/2020,184788,149766,2675
10/11/2020,189681,153347,2698
11/11/2020,194570,157164,2754
12/11/2020,201795,159467,2793
13/11/2020,207339,161756,2839
14/11/2020,216028,167234,2874
15/11/2020,223581,172873,2905
16/11/2020,231018,179614,2917
17/11/2020,236949,186680,2943
18/11/2020,242043,193869,3010
19/11/2020,249906,198365,3082
20/11/2020,256700,202432,3150
21/11/2020,262952,211513,3201
22/11/2020,270157,219720,3241
23/11/2020,276500,227311,3265
24/11/2020,282916,233847,3303
25/11/2020,289303,240720,3375
26/11/2020,289303,240720,3375
27/11/2020,295001,244982,3476
28/11/2020,304023,257485,3521
29/11/2020,312969,265223,3578
30/11/2020,318763,272608,3593
01/12/2020,322312,279540,3615
02/12/2020,327477,286219,3692
03/12/2020,333626,290019,3784
04/12/2020,338973,293151,3845
05/12/2020,345281,301081,3920
06/12/2020,350862,308218,3984
07/12/2020,356152,314138,4005
08/12/2020,359203,314957,4027
09/12/2020,363719,320233,4109
10/12/2020,367218,324304,4198
11/12/2020,370968,327509,4292
12/12/2020,375398,335258,4359
13/12/2020,378823,341530,4444
14/12/2020,381841,347077,4462
15/12/2020,384164,351820,4483
16/12/2020,386412,356384,4575
17/12/2020,389171,358667,4658
18/12/2020,391889,360868,4723
19/12/2020,394635,365620,4780
20/12/2020,397319,369912,4850
21/12/2020,399311,373301,4872
22/12/2020,401011,376354,4896
23/12/2020,402519,379512,4971
24/12/2020,404403,381269,5050
25/12/2020,404403,381269,5050
26/12/2020,406545,382705,5107
27/12/2020,409061,388919,5147
28/12/2020,410138,391248,5160
29/12/2020,411110,393506,5196
30/12/2020,413107,395679,5262
31/12/2020,415302,397080,5323
01/01/2021,415302,397080,5323
02/01/2021,417832,398199,5377
03/01/2021,420544,403419,5430
04/01/2021,423688,405556,5443
05/01/2021,425261,406667,5461
06/01/2021,427587,406910,5528
07/01/2021,429570,408510,5572
08/01/2021,431944,409727,5620
09/01/2021,434413,412546,5663
10/01/2021,436572,414756,5707
11/01/2021,437552,417005,5711
12/01/2021,438867,418610,5724
13/01/2021,440354,419139,5774
14/01/2021,441935,420919,5817
15/01/2021,443562,422289,5850
16/01/2021,445047,425253,5887
17/01/2021,446380,427468,5927
18/01/2021,447349,429325,5939
19/01/2021,448268,431096,5945
20/01/2021,449492,432738,5979
21/01/2021,450762,433722,6011
22/01/2021,452268,434515,6032
23/01/2021,453808,436544,6063
24/01/2021,454989,437827,6095
25/01/2021,455783,439283,6098
26/01/2021,456490,440596,6106
27/01/2021,457317,441740,6124
28/01/2021,458633,442600,6140
29/01/2021,459747,443253,6168
30/01/2021,460819,444782,6187
31/01/2021,461807,446137,6200
